date,Score,isPartial,ID,Timestamp,Source
2016-08-21,8,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2016-08-28,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2016-09-04,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2016-09-11,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2016-09-18,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2016-09-25,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2016-10-02,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2016-10-09,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2016-10-16,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2016-10-23,5,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2016-10-30,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2016-11-06,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2016-11-13,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2016-11-20,5,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2016-11-27,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2016-12-04,5,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2016-12-11,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2016-12-18,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2016-12-25,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-01-01,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-01-08,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-01-15,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-01-22,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-01-29,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-02-05,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-02-12,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-02-19,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-02-26,4,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-03-05,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-03-12,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-03-19,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-03-26,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-04-02,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-04-09,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-04-16,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-04-23,4,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-04-30,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-05-07,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-05-14,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-05-21,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-05-28,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-06-04,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-06-11,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-06-18,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-06-25,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-07-02,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-07-09,5,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-07-16,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-07-23,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-07-30,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-08-06,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-08-13,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-08-20,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-08-27,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-09-03,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-09-10,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-09-17,5,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-09-24,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-10-01,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-10-08,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-10-15,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-10-22,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-10-29,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-11-05,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-11-12,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
